cell_idx,label,ref_time_s,r_i,M_i,remainder,dreal_called,dreal_label,dreal_time_s
0,SAFE_TAYLOR,2.9986712830000215,0.39908732021894827,1.1280204909193237,0.08983030048740241,False,,0.0
1,SAFE_TAYLOR,0.003971112000044741,0.17035109074786545,5.445946351402541,0.07901930405842371,False,,0.0
2,SAFE_TAYLOR,0.003978168000003279,0.3889671210499909,6.900066292847206,0.5219742182419402,False,,0.0
3,SAFE_TAYLOR,0.003835469000023295,0.38232928946439393,6.01771428014229,0.4398217552692435,False,,0.0
4,SAFE_TAYLOR,0.004580101000101422,0.3854805376047325,5.960783820954481,0.44287206575199356,False,,0.0
5,SAFE_TAYLOR,0.0038239739999426092,0.2569879324238256,5.542037443173262,0.1830058280531441,False,,0.0
6,SAFE_TAYLOR,0.0040214040000137175,0.4192046392024486,5.868698130200233,0.5156605837306746,False,,0.0
7,SAFE_REFINEMENT,0.24025784800005567,0.30114402657569145,0.9093928184582762,0.04072645496755867,True,SAFE,0.13232670100001087
8,SAFE_TAYLOR,0.004395120000026509,0.36108219559734567,1.0239898848192683,0.06675408080201664,False,,0.0
9,SAFE_TAYLOR,0.004066756999918653,0.42382927301410567,0.8013900023724233,0.07197734499914805,False,,0.0
10,SAFE_TAYLOR,0.003740929000059623,0.41843917022158883,1.223528601673702,0.1071146306934295,False,,0.0
11,SAFE_REFINEMENT,0.024223273999950834,0.3143339228341918,1.262146598524085,0.060257671459355074,True,SAFE,0.13616837200015652
12,SAFE_REFINEMENT,0.025559115000078236,0.3063689851227586,0.8814708573238703,0.038995382129993726,True,SAFE,0.11958381099998405
13,SAFE_REFINEMENT,0.023377592000088043,0.216491767655197,0.952886906661214,0.022330278354806082,True,SAFE,0.15945074100000056
14,SAFE_REFINEMENT,0.023533069999984946,0.350324626055025,1.1461265721648306,0.06993685259488854,True,SAFE,0.032572924000078274
15,SAFE_REFINEMENT,0.06836289599982592,0.41598743080731604,1.36926109918484,0.11307524333958631,True,SAFE,0.1265653940001812
16,SAFE_REFINEMENT,0.023926663000111148,0.34031603568530483,1.2776722958214877,0.06988866403608984,True,SAFE,0.14665422399980343
17,SAFE_TAYLOR,0.004146727000033934,0.35872095026632933,1.359624808235833,0.08747874973557972,False,,0.0
18,SAFE_REFINEMENT,0.024105347999920923,0.42866324104056097,1.223130528702454,0.09472893038600479,True,SAFE,0.0672348719999718
19,SAFE_REFINEMENT,0.02404056499995022,0.2311717865216655,1.7053533683482673,0.045567378710320156,True,SAFE,0.1095856570000251
20,SAFE_REFINEMENT,0.023079494999819872,0.3103746460275826,0.8537465433974095,0.04037050698667743,True,SAFE,0.0383082910000212
21,SAFE_REFINEMENT,0.06398118500010241,0.5898284073203571,1.5977789320571567,0.264097331702234,True,SAFE,0.04125268799998594
22,SAFE_REFINEMENT,0.083350173999861,0.4953897090232414,1.417240043054727,0.16468017116795544,True,SAFE,0.1423927430000731
23,SAFE_REFINEMENT,0.06513695600006031,0.4346421836212353,1.424305884033907,0.12472895543071773,True,SAFE,0.13885241999992104
24,SAFE_TAYLOR,0.003966641000033633,0.29907243473871725,5.380930017179593,0.2406468164609402,False,,0.0
25,SAFE_TAYLOR,0.004018642000119144,0.21200154177151237,5.004528558791038,0.11246340153708796,False,,0.0
26,SAFE_REFINEMENT,0.02485627999976714,0.19127862424207376,1.0584106797129262,0.01795965749364516,True,SAFE,0.058270552000067255
27,SAFE_REFINEMENT,0.025736609999967186,0.28936839996195174,1.4598243806118574,0.05372835044247195,True,SAFE,0.10957207899991772
28,SAFE_REFINEMENT,0.04672138000023551,0.40003382277011085,1.335146594797769,0.10055418549722095,True,SAFE,0.0809997219998877
29,SAFE_REFINEMENT,0.04163411900003666,0.4295740616055564,1.9158169935468319,0.16161259462800545,True,SAFE,0.03736970599993583
30,SAFE_REFINEMENT,0.0623020689997702,0.45379525792851627,1.723780530696768,0.16929199232644862,True,SAFE,0.14846815400005653
31,SAFE_REFINEMENT,0.06472613699997964,0.477595409303213,1.3159025719481159,0.1413301894702901,True,SAFE,0.12024787200016362
32,SAFE_TAYLOR,0.0040201629999501165,0.19849969939145692,4.691480006009268,0.09242715408925586,False,,0.0
33,SAFE_TAYLOR,0.003348035000044547,0.47520860695457445,6.401622259173957,0.7228174762911322,False,,0.0
34,SAFE_REFINEMENT,0.02258420699990893,0.1961154430956797,6.456315909419341,0.1092807881414107,True,SAFE,0.0675483269999404
35,SAFE_TAYLOR,0.0036296959999617684,0.4372520091442263,1.636832867871487,0.15647248107233375,False,,0.0
36,SAFE_TAYLOR,0.00378504300010718,0.45443588115062417,5.909453201862135,0.6101864113976186,False,,0.0
37,SAFE_TAYLOR,0.003867220000074667,0.5461687673642485,6.932471680938246,1.0339792688795213,False,,0.0
38,SAFE_REFINEMENT,0.024784105999970052,0.44503350408641673,8.021117028553634,0.7495689525218028,True,SAFE,0.09381552399986504
39,SAFE_REFINEMENT,0.024501047999820003,0.5642255243022859,7.794034438334327,1.2406171552719982,True,SAFE,0.10375601000009738
40,SAFE_REFINEMENT,0.04410447899999781,0.5663874449136852,7.707540808733706,1.2028287999643192,True,SAFE,0.14472805600007632
41,SAFE_REFINEMENT,0.024993180000137727,0.5027414400172646,6.896383941836526,0.8534473582994366,True,SAFE,0.14817119099984666
42,SAFE_REFINEMENT,0.026132690999929764,0.22323387410373213,6.439266254195057,0.15306049821646703,True,SAFE,0.11926461899997776
43,SAFE_REFINEMENT,0.027438800000027186,0.23349817814644186,0.9895894274467845,0.02697690010782847,True,SAFE,0.16112250900005165
44,SAFE_TAYLOR,0.0038779609999437525,0.5388166277635508,1.5088753733398337,0.2190308828631988,False,,0.0
45,SAFE_REFINEMENT,0.025221282000075007,0.2499335353062821,1.6395651758422707,0.050042293851114875,True,SAFE,0.3128203050000593
46,SAFE_REFINEMENT,0.023731667999982164,0.27554136997075745,0.9100215181412157,0.03342986152186092,True,SAFE,0.12553319200014812
47,SAFE_REFINEMENT,0.025604652999845712,0.20807433091915672,1.0150914557571284,0.020099290130592484,True,SAFE,0.17639693199998874
48,SAFE_REFINEMENT,0.026805599999988772,0.25639728640047854,1.3470336104326115,0.0429984105760527,True,SAFE,0.04141104700011056
49,SAFE_REFINEMENT,0.04501292200006901,0.3832129556892814,1.4110956920638844,0.1036112318110135,True,SAFE,0.1507447179999417
50,SAFE_REFINEMENT,0.025653063999925507,0.266639204968227,1.6725831541489402,0.053476423091496555,True,SAFE,0.5605817210000623
51,SAFE_REFINEMENT,0.061178763000043546,0.5589679544031015,1.2241923903611784,0.18499322279428734,True,SAFE,0.09246664500005863
52,SAFE_REFINEMENT,0.04090846999997666,0.42615317062489305,1.3023406009535745,0.11825677534447247,True,SAFE,0.10478218899993408
53,SAFE_REFINEMENT,0.022906947999899785,0.5373647213300207,1.568901133322593,0.216877325304128,True,SAFE,0.03272820500001217
54,SAFE_REFINEMENT,0.02584126400029163,0.543517572532085,1.3620373940990165,0.19345785832871837,True,SAFE,0.07486870999991879
55,SAFE_REFINEMENT,0.024549125000021377,0.27393341534661236,1.456302245651413,0.05464010786334275,True,SAFE,0.06538472600004752
56,SAFE_TAYLOR,0.00427466800010734,0.24015017327812624,1.7138170542645466,0.049419719173867,False,,0.0
57,SAFE_REFINEMENT,0.027874074000010296,0.3149218405441281,0.9894723848163439,0.049065840677687836,True,SAFE,0.0685611549999976
58,SAFE_REFINEMENT,0.026506253999968976,0.36846570889701263,1.674945263383082,0.1016513296709048,True,SAFE,0.0464691209999728
59,SAFE_REFINEMENT,0.025665129999879355,0.19120714672301617,2.229461617056561,0.037873522329667474,True,SAFE,0.09780648500009193
60,SAFE_REFINEMENT,0.026460713000005853,0.34160811936132107,1.30200990655553,0.071543832604925,True,SAFE,0.08435736199999155
61,SAFE_REFINEMENT,0.025636783999971158,0.5158427463609151,6.338414767921797,0.8433062423795387,True,SAFE,0.0712253359999977
62,SAFE_REFINEMENT,0.08391920999997637,0.5488627855928964,1.176015351919951,0.1771375225420568,True,SAFE,0.2272704590000103
63,SAFE_REFINEMENT,0.13843197100004545,0.512875214593904,1.700036551373907,0.2062176678987622,True,SAFE,0.21712869299994964
64,SAFE_REFINEMENT,0.027320173999896724,0.46681666250112686,6.290371137959049,0.6853919084255292,True,SAFE,0.10913466900001367
65,SAFE_REFINEMENT,0.08625714900017556,0.4435921512997709,1.9850663553514492,0.18892751653507112,True,SAFE,0.21953135099988685
66,SAFE_REFINEMENT,0.06170381499987343,0.34115947874018915,1.4569599197006176,0.07853410140930545,True,SAFE,0.10426998200000526
67,SAFE_REFINEMENT,0.026315170000088983,0.3368534426832177,2.133766231512557,0.11417132807694927,True,SAFE,0.365999808999959
68,SAFE_TAYLOR,0.004483069999878353,0.06414499380484717,4.013160191958366,0.008256234793276685,False,,0.0
69,SAFE_TAYLOR,0.003786332000117909,0.04931992247101868,4.63371944900764,0.00563565644785473,False,,0.0
70,SAFE_TAYLOR,0.004031771999962075,0.06461102677506635,2.199712734816965,0.00459144365259058,False,,0.0
71,SAFE_TAYLOR,0.004382703999908699,0.04929087698890829,2.7256219464948543,0.0033110726679469763,False,,0.0
72,SAFE_TAYLOR,0.004968561000168847,0.23214697567943657,3.020640858502198,0.08139451830198988,False,,0.0
73,SAFE_TAYLOR,0.005835738000087076,0.28609462556395693,4.101032902144313,0.167835047881852,False,,0.0
74,SAFE_TAYLOR,0.003990289000057601,0.3690973220948552,4.462025554404301,0.3039371914936596,False,,0.0
75,SAFE_TAYLOR,0.0036719170000196755,0.3319088224348197,5.1799228979858425,0.28531913108950446,False,,0.0
76,SAFE_TAYLOR,0.004557208000051105,0.24459030449940514,1.580079863932816,0.047263678380150484,False,,0.0
77,SAFE_TAYLOR,0.004233301999875039,0.2974329746451202,2.6887514028982533,0.11893204414705631,False,,0.0
78,SAFE_TAYLOR,0.004355534000069383,0.3749917827824985,2.357864253359739,0.16578006473768298,False,,0.0
79,SAFE_TAYLOR,0.004883699999936653,0.3384901255487878,3.269427338062368,0.18729824239618983,False,,0.0
80,SAFE_TAYLOR,0.004303502999846387,0.26378895569186955,2.8979718193452007,0.10082712397713413,False,,0.0
81,SAFE_REFINEMENT,0.025711067999964143,0.13908385405896398,3.3595528781528694,0.02704585402933632,True,SAFE,0.1532708449999518
82,SAFE_TAYLOR,0.0037961110001560883,0.2765019551644989,1.2456509285336081,0.04761708150548154,False,,0.0
83,SAFE_TAYLOR,0.0038510269998823787,0.39164403332499653,1.643610543739799,0.12605264176197056,False,,0.0
84,SAFE_TAYLOR,0.003999110999984623,0.32252169537689035,2.3442607168797998,0.12192528587157882,False,,0.0
85,SAFE_TAYLOR,0.003925221000145029,0.32911307684573754,2.0030532206264366,0.10848077278407672,False,,0.0
86,SAFE_TAYLOR,0.00483240499988824,0.3158246200605106,4.309702422917031,0.21493604487993356,False,,0.0
87,SAFE_TAYLOR,0.00392499300005511,0.31743134437925896,3.2577844796505664,0.1641315123228427,False,,0.0
88,SAFE_TAYLOR,0.00380324500019924,0.22543732891719503,4.769051588834826,0.12118634433629752,False,,0.0
89,SAFE_TAYLOR,0.003745546999880389,0.32400425133713456,6.309865904804682,0.3312009330873942,False,,0.0
90,SAFE_TAYLOR,0.0037460510000073555,0.2783570005146295,5.022360755111472,0.1945728342814041,False,,0.0
91,SAFE_TAYLOR,0.003991566999957286,0.3100328022305351,5.895502058934513,0.2833388266450169,False,,0.0
92,SAFE_TAYLOR,0.00435273099992628,0.47480872790790396,6.415474963085917,0.7231630135022081,False,,0.0
93,SAFE_TAYLOR,0.004619333999926312,0.44017754751466037,6.6901554073293035,0.648129789881478,False,,0.0
94,SAFE_REFINEMENT,0.025917574000004606,0.3572071749344894,6.80246454277038,0.4288564479548539,True,SAFE,0.023492325999995955
95,SAFE_REFINEMENT,0.026229308999973,0.32596875341905124,6.258393105532455,0.30920334098754737,True,SAFE,0.025189799999907336
96,SAFE_TAYLOR,0.004045392999842079,0.5722676344819175,7.362279871558904,1.205537421198188,False,,0.0
97,SAFE_REFINEMENT,0.02452333099995485,0.2881003374589522,6.944978614509404,0.28623088416750636,True,SAFE,0.031061317999956373
98,SAFE_REFINEMENT,0.024699237000049834,0.3868367287876467,7.314170076519987,0.5325961234051634,True,SAFE,0.031160802999920634
99,SAFE_REFINEMENT,0.023142343000017718,0.398186009534758,1.4065788030926085,0.11031990322120366,True,SAFE,0.03651421900008245
100,SAFE_TAYLOR,0.004189452999980858,0.3242075672364138,1.3520545472449397,0.07105759628303417,False,,0.0
101,SAFE_TAYLOR,0.003810303000136628,0.5463900607635673,2.0119585002042,0.3003271563741594,False,,0.0
102,SAFE_TAYLOR,0.0034506120000514784,0.43528921727323044,2.6722036041169086,0.2531601638912818,False,,0.0
103,SAFE_TAYLOR,0.0035620190001282026,0.21112938555829025,1.0979002049404292,0.024469789764776203,False,,0.0
104,SAFE_TAYLOR,0.0036289239999405254,0.3016970120053209,1.5127638635610343,0.06884670565786442,False,,0.0
105,SAFE_TAYLOR,0.0038193840000531054,0.3647633471711386,1.883550183068653,0.12530534148348074,False,,0.0
106,SAFE_TAYLOR,0.004278993999832892,0.435158319385606,2.4319193977999625,0.2302574881958455,False,,0.0
107,SAFE_TAYLOR,0.004036505999920337,0.45288984846510655,2.8410620721165554,0.2913640054656675,False,,0.0
108,SAFE_REFINEMENT,0.02519298099991829,0.45956438718123555,1.2157358690028355,0.12838135882939047,True,SAFE,0.033334067999930994
109,SAFE_REFINEMENT,0.024979233000067325,0.29727550765362604,1.4307772337447733,0.06322084326021174,True,SAFE,0.03056007099985436
110,SAFE_TAYLOR,0.0054119579999678535,0.5848638393986417,1.800115540979414,0.3078789008761236,False,,0.0
111,SAFE_TAYLOR,0.00428376899981231,0.232126752667173,1.9852071641281694,0.05348428937870637,False,,0.0
112,SAFE_REFINEMENT,0.028381151000303362,0.4297787732507433,2.09491247112978,0.19002089601246083,True,SAFE,0.019755463999899803
113,SAFE_TAYLOR,0.004643656000098417,0.44482657041226126,2.8583363217515516,0.2827904726036854,False,,0.0
114,SAFE_REFINEMENT,0.02409742100007861,0.28341322451774853,1.5205413705377586,0.05957388569521834,True,SAFE,0.03400548299987349
115,SAFE_TAYLOR,0.004117077000046265,0.38536072265352744,1.6188643779086371,0.12020301653757295,False,,0.0
116,SAFE_TAYLOR,0.004069396999966557,0.22792979760660614,2.1066763740448398,0.054723017736447506,False,,0.0
117,SAFE_TAYLOR,0.0037606649998451758,0.33077688105141784,1.8957348991646652,0.10370934831153923,False,,0.0
118,SAFE_TAYLOR,0.004802993999874161,0.3924457172009959,2.9444031588390693,0.2267391254578658,False,,0.0
119,SAFE_REFINEMENT,0.024777095999979792,0.39472775748545924,7.262109285230245,0.5499132212637031,True,SAFE,0.02713098699996408
120,SAFE_REFINEMENT,0.06679722699982449,0.49407946232858824,2.626543935456611,0.3040523705971741,True,SAFE,0.02031983599999876
121,SAFE_TAYLOR,0.003873284000064814,0.3336508907552445,7.373386613852911,0.4104134526492785,False,,0.0
122,SAFE_TAYLOR,0.004934047999995528,0.4504628484716356,1.5212170760119132,0.1543402337397865,False,,0.0
123,SAFE_TAYLOR,0.004404468000075212,0.15225762862630446,0.9687627136788638,0.011229115331109535,False,,0.0
124,SAFE_TAYLOR,0.0036599720001504465,0.2515943992202182,6.421115982624282,0.20322749162387388,False,,0.0
125,SAFE_TAYLOR,0.0038096599998880265,0.5115333981458305,8.350186095507492,1.0924816401951134,False,,0.0
126,SAFE_TAYLOR,0.0037610360000144283,0.5698265473452655,1.649331543036689,0.267770867844293,False,,0.0
127,SAFE_TAYLOR,0.003662646000066161,0.48927458090460535,1.43096782928777,0.17127941923689854,False,,0.0
128,SAFE_TAYLOR,0.004250652999871818,0.39805399280214165,7.315950585163892,0.5795951423615875,False,,0.0
129,SAFE_TAYLOR,0.004837381000015739,0.14783948705252153,0.9645971231773627,0.010541365230723753,False,,0.0
130,SAFE_TAYLOR,0.004101858000012726,0.17406716207876252,1.2701386590390344,0.019242204981731036,False,,0.0
131,SAFE_TAYLOR,0.004086959999995088,0.15440188749019765,0.9545947060642958,0.011378741623771319,False,,0.0
132,SAFE_TAYLOR,0.004253940000126022,0.2412571044375197,1.7626852091182803,0.0512985378741187,False,,0.0
133,SAFE_TAYLOR,0.003963140999985626,0.24926875938397686,1.4179175132288875,0.044051091658791,False,,0.0
134,SAFE_TAYLOR,0.003738841000085813,0.2385766083884815,4.8357371634455495,0.13762217356324066,False,,0.0
135,SAFE_TAYLOR,0.003956654999910825,0.14821227075038465,0.9086504467151094,0.009980106390805633,False,,0.0
136,SAFE_TAYLOR,0.004001624000011361,0.2845726046185115,5.211165667757275,0.21100418161580964,False,,0.0
137,SAFE_TAYLOR,0.0046551890000046114,0.3021593174913716,5.551781560821178,0.25343953095949795,False,,0.0
138,SAFE_TAYLOR,0.004120912999951543,0.4264290106663481,5.72230929436262,0.5202772282620014,False,,0.0
139,SAFE_TAYLOR,0.004062325000177225,0.3806857188619806,1.6273131915377985,0.11791642917170715,False,,0.0
140,SAFE_REFINEMENT,0.02853742000024795,0.26058656299167504,1.2319453685120914,0.041485395810015924,True,SAFE,0.12821580299987545
141,SAFE_REFINEMENT,0.023392262999777813,0.3953693606787414,1.2468356353686736,0.09745076021775585,True,SAFE,0.08910318500011272
142,SAFE_REFINEMENT,0.024405650999824502,0.3403236896168407,1.361983960164829,0.07607855949382639,True,SAFE,0.12711191300013525
