depth,n_subcells,r_mean,r_std,M_mean,M_std
-1,1,0.9752462760176014,0.0,2.144470115273024,0.0
0,5,0.733919089563399,0.14129401864041652,1.6566961967707734,0.29324533027457633
1,25,0.48225129688872753,0.13387419286899238,1.3390417137583261,0.2461646281083326
2,85,0.3552748607085682,0.10263883618412267,1.1987564378560824,0.14536919698200687
3,90,0.3195701201763275,0.055418014829309706,1.1496234293093586,0.11056028121849519
4,10,0.27978593021535125,0.04363013756079112,1.030188747470708,0.08459257045549995
